"lga_id","pop_2006","lga","state","zone","area_sq_km","surveying_effort","pop_density_2006","unique_lga","longitude","latitude"
330,162383,"Ikom","Cross River","South-South",1960.78659,"Others",82.815233859795,"cross_river_ikom",8.61701018199789,6.07575692223638
331,131904,"Ikono","Akwa Ibom","South-South",258.9647779,"Others",509.351121297797,"akwa_ibom_ikono",7.78268761233111,5.21616635544125
332,535619,"Ikorodu","Lagos","Southwest",394.4667107,"Others",1357.83067486105,"lagos_ikorodu",3.56783988650183,6.61510774212703
333,132023,"Ikot-Abasi","Akwa Ibom","South-South",359.5677943,"Others",367.171370998395,"akwa_ibom_ikot_abasi",7.62610875184746,4.60696682945847
334,143077,"Ikot-Ekpene","Akwa Ibom","South-South",115.858655,"Others",1234.92716189395,"akwa_ibom_ikot_ekpene",7.70397805959453,5.19451767083887
335,371106,"Ikpoba-Okha","Edo","South-South",862.9547205,"Others",430.041103182076,"edo_ikpoba_okha",5.65104524933661,6.17103912390606
336,189726,"Ikwerre","Rivers","South-South",655.7053418,"Others",289.346430332833,"rivers_ikwerre",6.90606485369216,5.06399045269016
337,214604,"Ikwo","Ebonyi","Southeast",577.0883626,"113",371.873726638895,"ebonyi_ikwo",8.19522845760813,6.08646965091464
338,137993,"Ikwuano","Abia","Southeast",281.516886,"113",490.17663544346,"abia_ikwuano",7.58497269176857,5.40600929101
339,62049,"Ila","Osun","Southwest",303.033354,"Others",204.759638439008,"osun_ila",4.88824574568914,7.98841676575682
340,43530,"Ilejemeje","Ekiti","Southwest",95.00090309,"Others",458.206170511468,"ekiti_ilejemeje",5.23228616188007,7.95513801750075
341,172870,"Ile Oluji Okeigbo","Ondo","Southwest",698.2742342,"113",247.567490726697,"ondo_ile_oluji_okeigbo",4.87536672903552,7.26587737656882
342,106586,"Ilesha-East","Osun","Southwest",70.63900163,"Others",1508.88316001813,"osun_ilesha_east",4.75987177446169,7.60438678267858
343,103555,"Ilesha-West","Osun","Southwest",62.88933406,"Others",1646.62261968306,"osun_ilesha_west",4.71648617362523,7.64510085509899
344,150489,"Illela","Sokoto","Northwest",1246.748775,"113",120.705151685431,"sokoto_illela",5.36986367311046,13.681281208316
345,204310,"Ilorin East","Kwara","North-Central",486.3142165,"148",420.119324231189,"kwara_ilorin_east",4.76072568547345,8.59710285216178
346,208691,"Ilorin South","Kwara","North-Central",174.6443191,"Others",1194.94868814201,"kwara_ilorin_south",4.67201840259067,8.4439297565501
347,364666,"Ilorin west","Kwara","North-Central",104.6956114,"Others",3483.1068382299,"kwara_ilorin_west",4.52349713250628,8.48751821677645
348,82217,"Imeko Afon","Ogun","Southwest",1657.508241,"Others",49.602769968973,"ogun_imeko_afon",2.87891709972648,7.63895981094054
349,169753,"Ingawa","Katsina","Northwest",892.4487239,"Others",190.210367782453,"katsina_ingawa",8.08744560031211,12.6230437431424
350,99196,"Ini","Akwa Ibom","South-South",372.3852151,"148",266.380070898792,"akwa_ibom_ini",7.75025273005947,5.39599730550804
351,150426,"Ipokia","Ogun","Southwest",630.3391939,"Others",238.642942491474,"ogun_ipokia",2.80659463586536,6.61614168333732
352,145166,"Irele","Ondo","Southwest",963.4698225,"Others",150.670001913838,"ondo_irele",5.00434221137809,6.52231649325733
353,122553,"Irepo","Oyo","Southwest",985.5253766,"148",124.352962297937,"oyo_irepo",3.92322430614331,9.0156885547028
